name,CAS,Quantity,Value,Units,Method,Reference,Comment
"2,2,4-Trimethylpentane",540-84-1,Quantity,Value,Units,Method,Reference,Comment
"2,2,4-Trimethylpentane",540-84-1,ΔvapH°,35.1 ± 0.2,kJ/mol,AVG,N/A,Average of 7 values;Individual data points
2-Methylheptane,592-27-8,Tboil,390.7 ± 0.8,K,AVG,N/A,Average of 37 out of 38 values;Individual data points
2-Methylheptane,592-27-8,Quantity,Value,Units,Method,Reference,Comment
2-Methylheptane,592-27-8,Tfus,163. ± 2.,K,AVG,N/A,Average of 14 values;Individual data points
2-Methylheptane,592-27-8,Quantity,Value,Units,Method,Reference,Comment
2-Methylheptane,592-27-8,Ttriple,160. ± 9.,K,AVG,N/A,Average of 10 values;Individual data points
2-Methylheptane,592-27-8,Quantity,Value,Units,Method,Reference,Comment
2-Methylheptane,592-27-8,Tc,559.7 ± 0.1,K,N/A,"Daubert, 1996",
2-Methylheptane,592-27-8,Tc,559.7,K,N/A,"Abara, Jennings, et al., 1988",Uncertainty assigned by TRC =  0.2 K;TRC
2-Methylheptane,592-27-8,Tc,559.6,K,N/A,"Majer and Svoboda, 1985",
2-Methylheptane,592-27-8,Tc,559.56,K,N/A,"McMicking and Kay, 1965",Uncertainty assigned by TRC =  0.4 K;TRC
2-Methylheptane,592-27-8,Tc,559.57,K,N/A,"Ambrose, Cox, et al., 1960","Uncertainty assigned by TRC =  0.2 K; Visual, PRT, IPTS-48;TRC"
2-Methylheptane,592-27-8,Quantity,Value,Units,Method,Reference,Comment
2-Methylheptane,592-27-8,Pc,25.0 ± 0.2,bar,N/A,"Daubert, 1996",
2-Methylheptane,592-27-8,Pc,25.00,bar,N/A,"Abara, Jennings, et al., 1988",Uncertainty assigned by TRC =  0.40 bar;TRC
2-Methylheptane,592-27-8,Pc,24.842,bar,N/A,"McMicking and Kay, 1965",Uncertainty assigned by TRC =  0.4053 bar;TRC
2-Methylheptane,592-27-8,Quantity,Value,Units,Method,Reference,Comment
2-Methylheptane,592-27-8,Vc,0.488,l/mol,N/A,"Daubert, 1996",
2-Methylheptane,592-27-8,Quantity,Value,Units,Method,Reference,Comment
2-Methylheptane,592-27-8,ρc,2.05 ± 0.02,mol/l,N/A,"Daubert, 1996",
2-Methylheptane,592-27-8,ρc,2.05,mol/l,N/A,"McMicking and Kay, 1965",Uncertainty assigned by TRC =  0.04 mol/l;TRC
2-Methylheptane,592-27-8,Quantity,Value,Units,Method,Reference,Comment
2-Methylheptane,592-27-8,ΔvapH°,39. ± 5.,kJ/mol,AVG,N/A,Average of 6 values;Individual data points
2-Methyloctane,3221-61-2,Tboil,416.1 ± 0.9,K,AVG,N/A,Average of 14 values;Individual data points
2-Methyloctane,3221-61-2,Quantity,Value,Units,Method,Reference,Comment
2-Methyloctane,3221-61-2,Tfus,192.75,K,N/A,"Mears, Fookson, et al., 1950",Uncertainty assigned by TRC =  0.15 K;TRC
2-Methyloctane,3221-61-2,Tfus,193.05,K,N/A,"Whitmore and Southgate, 1938",Uncertainty assigned by TRC =  0.2 K;TRC
2-Methyloctane,3221-61-2,Tfus,192.66,K,N/A,"White and Glasgow, 1937",Uncertainty assigned by TRC =  0.1 K;TRC
2-Methyloctane,3221-61-2,Quantity,Value,Units,Method,Reference,Comment
2-Methyloctane,3221-61-2,Tc,582.8 ± 0.1,K,N/A,"Daubert, 1996",
2-Methyloctane,3221-61-2,Tc,582.87,K,N/A,"Abara, Jennings, et al., 1988",Uncertainty assigned by TRC =  0.3 K;TRC
2-Methyloctane,3221-61-2,Tc,582.87,K,N/A,"Kay and Hissong, 1969",Uncertainty assigned by TRC =  0.2 K;TRC
2-Methyloctane,3221-61-2,Quantity,Value,Units,Method,Reference,Comment
2-Methyloctane,3221-61-2,Pc,23.1 ± 0.2,bar,N/A,"Daubert, 1996",
2-Methyloctane,3221-61-2,Pc,23.10,bar,N/A,"Abara, Jennings, et al., 1988",Uncertainty assigned by TRC =  0.50 bar;TRC
2-Methyloctane,3221-61-2,Pc,23.10,bar,N/A,"Kay and Hissong, 1969",Uncertainty assigned by TRC =  0.2068 bar;TRC
2-Methyloctane,3221-61-2,Quantity,Value,Units,Method,Reference,Comment
2-Methyloctane,3221-61-2,ΔvapH°,44.9,kJ/mol,N/A,"Reid, 1972","See alsoLabbauf, Greenshields, et al., 1961.;AC"
2-Methylnonane,871-83-0,Tboil,440.0,K,N/A,"Weast and Grasselli, 1989",BS
2-Methylnonane,871-83-0,Tboil,440.2,K,N/A,"Majer and Svoboda, 1985",
2-Methylnonane,871-83-0,Tboil,440.15,K,N/A,"Mears, Fookson, et al., 1950",Uncertainty assigned by TRC =  0.15 K;TRC
2-Methylnonane,871-83-0,Tboil,440.0,K,N/A,"Calingaert and Soroos, 1936",Uncertainty assigned by TRC =  0.3 K;TRC
2-Methylnonane,871-83-0,Quantity,Value,Units,Method,Reference,Comment
2-Methylnonane,871-83-0,Tfus,201.5,K,N/A,"Mears, Fookson, et al., 1950",Uncertainty assigned by TRC =  0.15 K;TRC
2-Methylnonane,871-83-0,Tfus,198.79,K,N/A,"Parks, West, et al., 1941",Uncertainty assigned by TRC =  0.2 K;TRC
2-Methylnonane,871-83-0,Quantity,Value,Units,Method,Reference,Comment
2-Methylnonane,871-83-0,Ttriple,198.8,K,N/A,"Parks, West, et al., 1941",Uncertainty assigned by TRC =  0.2 K;TRC
2-Methylnonane,871-83-0,Quantity,Value,Units,Method,Reference,Comment
2-Methylnonane,871-83-0,Tc,610.7,K,N/A,"Majer and Svoboda, 1985",
2-Methylnonane,871-83-0,Quantity,Value,Units,Method,Reference,Comment
2-Methylnonane,871-83-0,ΔvapH°,49.64,kJ/mol,N/A,"Majer and Svoboda, 1985",
2-Methylnonane,871-83-0,ΔvapH°,51.0,kJ/mol,N/A,"Reid, 1972",AC
2-Methyldecane,6975-98-0,Tboil,462.4,K,N/A,"Weast and Grasselli, 1989",BS
2-Methyldecane,6975-98-0,Tboil,462.4,K,N/A,"Majer and Svoboda, 1985",
2-Methyldecane,6975-98-0,Tboil,462.30,K,N/A,"Anonymous, 1950",Uncertainty assigned by TRC =  0.5 K;TRC
2-Methyldecane,6975-98-0,Tboil,462.3,K,N/A,"Boord, Greenlee, et al., 1950",Uncertainty assigned by TRC =  0.2 K;TRC
2-Methyldecane,6975-98-0,Tboil,462.27,K,N/A,"Boord, Greenlee, et al., 1950",Uncertainty assigned by TRC =  0.2 K;TRC
2-Methyldecane,6975-98-0,Quantity,Value,Units,Method,Reference,Comment
2-Methyldecane,6975-98-0,Tfus,224.28 ± 0.02,K,AVG,N/A,Average of 7 values;Individual data points
2-Methyldecane,6975-98-0,Quantity,Value,Units,Method,Reference,Comment
2-Methyldecane,6975-98-0,Ttriple,224.3000,K,N/A,"Messerly and Finke, 1971",Uncertainty assigned by TRC =  0.01 K;TRC
2-Methyldecane,6975-98-0,Ttriple,224.3100,K,N/A,"Messerly and Finke, 1971","Uncertainty assigned by TRC =  0.005 K; by extrapolation of 1/F to 0, corrected for impurities;TRC"
2-Methyldecane,6975-98-0,Quantity,Value,Units,Method,Reference,Comment
2-Methyldecane,6975-98-0,Tc,629.9,K,N/A,"Majer and Svoboda, 1985",
2-Methyldecane,6975-98-0,Quantity,Value,Units,Method,Reference,Comment
2-Methyldecane,6975-98-0,ΔvapH°,54.29,kJ/mol,N/A,"Majer and Svoboda, 1985",
"2,6-Dimethyloctane",2051-30-1,Tboil,432. ± 1.,K,AVG,N/A,Average of 7 values;Individual data points
"2,6-Dimethyloctane",2051-30-1,Quantity,Value,Units,Method,Reference,Comment
"2,6-Dimethyloctane",2051-30-1,ΔvapH°,49.3,kJ/mol,N/A,"Reid, 1972",AC
Cyclopentane,287-92-3,Tboil,322.4 ± 0.3,K,AVG,N/A,Average of 34 out of 39 values;Individual data points
Cyclopentane,287-92-3,Quantity,Value,Units,Method,Reference,Comment
Cyclopentane,287-92-3,Tfus,179.2 ± 0.8,K,AVG,N/A,Average of 26 out of 27 values;Individual data points
Cyclopentane,287-92-3,Quantity,Value,Units,Method,Reference,Comment
Cyclopentane,287-92-3,Ttriple,179.71,K,N/A,"Douslin and Huffman, 1946",Crystal phase 1 phase; Uncertainty assigned by TRC =  0.05 K; To = 273.16 K;TRC
Cyclopentane,287-92-3,Ttriple,179.71,K,N/A,"Douslin and Huffman, 1946",Crystal phase 1 phase; Uncertainty assigned by TRC =  0.007 K; To = 273.16 K;TRC
Cyclopentane,287-92-3,Ttriple,179.69,K,N/A,"Aston, Finke, et al., 1943",Uncertainty assigned by TRC =  0.08 K;TRC
Cyclopentane,287-92-3,Ttriple,179.0,K,N/A,"Jacobs and Parks, 1934",Crystal phase 1 phase; Uncertainty assigned by TRC =  0.2 K;TRC
Cyclopentane,287-92-3,Quantity,Value,Units,Method,Reference,Comment
Cyclopentane,287-92-3,Tc,511.7 ± 0.2,K,N/A,"Daubert, 1996",
Cyclopentane,287-92-3,Tc,511.6,K,N/A,"Majer and Svoboda, 1985",
Cyclopentane,287-92-3,Tc,511.7,K,N/A,"Kudchadker, Alani, et al., 1968",Uncertainty assigned by TRC =  0.2 K;TRC
Cyclopentane,287-92-3,Tc,511.6,K,N/A,"Ambrose and Grant, 1957",Uncertainty assigned by TRC =  0.15 K;TRC
Cyclopentane,287-92-3,Tc,511.75,K,N/A,"Kay, 1947",Uncertainty assigned by TRC =  0.05 K;TRC
Cyclopentane,287-92-3,Quantity,Value,Units,Method,Reference,Comment
Cyclopentane,287-92-3,Pc,45.1 ± 0.4,bar,N/A,"Daubert, 1996",
Cyclopentane,287-92-3,Pc,45.08,bar,N/A,"Kudchadker, Alani, et al., 1968",Uncertainty assigned by TRC =  0.4053 bar;TRC
Cyclopentane,287-92-3,Pc,44.30,bar,N/A,"Ambrose and Grant, 1957",Uncertainty assigned by TRC =  0.5066 bar;TRC
Cyclopentane,287-92-3,Pc,45.1403,bar,N/A,"Kay, 1947",Uncertainty assigned by TRC =  0.0506 bar;TRC
Cyclopentane,287-92-3,Quantity,Value,Units,Method,Reference,Comment
Cyclopentane,287-92-3,Vc,0.259,l/mol,N/A,"Daubert, 1996",
Cyclopentane,287-92-3,Quantity,Value,Units,Method,Reference,Comment
Cyclopentane,287-92-3,ρc,3.85 ± 0.04,mol/l,N/A,"Daubert, 1996",
Cyclopentane,287-92-3,ρc,3.850,mol/l,N/A,"Kudchadker, Alani, et al., 1968",Uncertainty assigned by TRC =  0.06 mol/l;TRC
Cyclopentane,287-92-3,ρc,3.85,mol/l,N/A,"Kay, 1947",Uncertainty assigned by TRC =  0.03 mol/l;TRC
Cyclopentane,287-92-3,Quantity,Value,Units,Method,Reference,Comment
Cyclopentane,287-92-3,ΔvapH°,28.8 ± 0.6,kJ/mol,AVG,N/A,Average of 8 values;Individual data points
Methylcyclopentane,96-37-7,Tboil,345.0 ± 0.2,K,AVG,N/A,Average of 35 out of 41 values;Individual data points
Methylcyclopentane,96-37-7,Quantity,Value,Units,Method,Reference,Comment
Methylcyclopentane,96-37-7,Tfus,131. ± 1.,K,AVG,N/A,Average of 30 out of 35 values;Individual data points
Methylcyclopentane,96-37-7,Quantity,Value,Units,Method,Reference,Comment
Methylcyclopentane,96-37-7,Ttriple,130.5 ± 0.6,K,AVG,N/A,Average of 6 values;Individual data points
Methylcyclopentane,96-37-7,Quantity,Value,Units,Method,Reference,Comment
Methylcyclopentane,96-37-7,Tc,532.7 ± 0.2,K,N/A,"Daubert, 1996",
Methylcyclopentane,96-37-7,Tc,532.7,K,N/A,"Majer and Svoboda, 1985",
Methylcyclopentane,96-37-7,Tc,532.73,K,N/A,"Kudchadker, Alani, et al., 1968",Uncertainty assigned by TRC =  0.3 K;TRC
Methylcyclopentane,96-37-7,Tc,532.7,K,N/A,"Ambrose, Cox, et al., 1960","Uncertainty assigned by TRC =  0.2 K; Vis, PRT, IPTS-48;TRC"
Methylcyclopentane,96-37-7,Tc,532.76,K,N/A,"Kay, 1947",Uncertainty assigned by TRC =  0.05 K;TRC
Methylcyclopentane,96-37-7,Quantity,Value,Units,Method,Reference,Comment
Methylcyclopentane,96-37-7,Pc,37.9 ± 0.4,bar,N/A,"Daubert, 1996",
Methylcyclopentane,96-37-7,Pc,37.84,bar,N/A,"Kudchadker, Alani, et al., 1968",Uncertainty assigned by TRC =  0.4053 bar;TRC
Methylcyclopentane,96-37-7,Pc,37.8591,bar,N/A,"Kay, 1947",Uncertainty assigned by TRC =  0.0506 bar;TRC
Methylcyclopentane,96-37-7,Quantity,Value,Units,Method,Reference,Comment
Methylcyclopentane,96-37-7,Vc,0.318,l/mol,N/A,"Daubert, 1996",
Methylcyclopentane,96-37-7,Quantity,Value,Units,Method,Reference,Comment
Methylcyclopentane,96-37-7,ρc,3.14 ± 0.04,mol/l,N/A,"Daubert, 1996",
Methylcyclopentane,96-37-7,ρc,3.137,mol/l,N/A,"Kudchadker, Alani, et al., 1968",Uncertainty assigned by TRC =  0.05 mol/l;TRC
Methylcyclopentane,96-37-7,ρc,3.14,mol/l,N/A,"Kay, 1947",Uncertainty assigned by TRC =  0.02 mol/l;TRC
Methylcyclopentane,96-37-7,Quantity,Value,Units,Method,Reference,Comment
Methylcyclopentane,96-37-7,ΔvapH°,31.7 ± 0.1,kJ/mol,AVG,N/A,Average of 6 values;Individual data points
Cyclohexane,110-82-7,Tboil,353.9 ± 0.2,K,AVG,N/A,Average of 93 out of 116 values;Individual data points
Cyclohexane,110-82-7,Quantity,Value,Units,Method,Reference,Comment
Cyclohexane,110-82-7,Tfus,279.6 ± 0.3,K,AVG,N/A,Average of 38 out of 47 values;Individual data points
Cyclohexane,110-82-7,Quantity,Value,Units,Method,Reference,Comment
Cyclohexane,110-82-7,Ttriple,279.7 ± 0.4,K,AVG,N/A,Average of 8 values;Individual data points
Cyclohexane,110-82-7,Quantity,Value,Units,Method,Reference,Comment
Cyclohexane,110-82-7,Tc,554. ± 1.,K,AVG,N/A,Average of 18 values;Individual data points
Cyclohexane,110-82-7,Quantity,Value,Units,Method,Reference,Comment
Cyclohexane,110-82-7,Pc,40.7 ± 0.5,bar,AVG,N/A,Average of 8 values;Individual data points
Cyclohexane,110-82-7,Quantity,Value,Units,Method,Reference,Comment
Cyclohexane,110-82-7,Vc,0.308,l/mol,N/A,"Daubert, 1996",
Cyclohexane,110-82-7,Vc,0.309,l/mol,N/A,"Young, 1972",Uncertainty assigned by TRC =  0.003 l/mol;TRC
Cyclohexane,110-82-7,Quantity,Value,Units,Method,Reference,Comment
Cyclohexane,110-82-7,ρc,3.24 ± 0.03,mol/l,N/A,"Daubert, 1996",
Cyclohexane,110-82-7,ρc,3.26,mol/l,N/A,"Teja and Anselme, 1990",Uncertainty assigned by TRC =  0.07 mol/l;TRC
Cyclohexane,110-82-7,ρc,3.230,mol/l,N/A,"Simon, 1957",Uncertainty assigned by TRC =  0.04 mol/l;TRC
Cyclohexane,110-82-7,ρc,3.250,mol/l,N/A,"Young, 1910",Uncertainty assigned by TRC =  0.02 mol/l;TRC
Cyclohexane,110-82-7,ρc,3.247,mol/l,N/A,"Young and Fortey, 1899",Uncertainty assigned by TRC =  0.06 mol/l;TRC
Cyclohexane,110-82-7,Quantity,Value,Units,Method,Reference,Comment
Cyclohexane,110-82-7,ΔvapH°,33.1 ± 0.4,kJ/mol,AVG,N/A,Average of 19 out of 21 values;Individual data points
Methylcyclohexane,108-87-2,Tboil,374.0 ± 0.8,K,AVG,N/A,Average of 101 out of 106 values;Individual data points
Methylcyclohexane,108-87-2,Quantity,Value,Units,Method,Reference,Comment
Methylcyclohexane,108-87-2,Tfus,146.6 ± 0.4,K,AVG,N/A,Average of 15 out of 16 values;Individual data points
Methylcyclohexane,108-87-2,Quantity,Value,Units,Method,Reference,Comment
Methylcyclohexane,108-87-2,Ttriple,146.58,K,N/A,"Douslin and Huffman, 1946",Uncertainty assigned by TRC =  0.05 K; To = 273.16 K;TRC
Methylcyclohexane,108-87-2,Ttriple,146.57,K,N/A,"Douslin and Huffman, 1946",Uncertainty assigned by TRC =  0.08 K; To = 273.16 K;TRC
Methylcyclohexane,108-87-2,Quantity,Value,Units,Method,Reference,Comment
Methylcyclohexane,108-87-2,Tc,573. ± 2.,K,AVG,N/A,Average of 9 values;Individual data points
Methylcyclohexane,108-87-2,Quantity,Value,Units,Method,Reference,Comment
Methylcyclohexane,108-87-2,Pc,34.8 ± 0.2,bar,N/A,"Daubert, 1996",
Methylcyclohexane,108-87-2,Pc,34.71,bar,N/A,"Kudchadker, Alani, et al., 1968",Uncertainty assigned by TRC =  0.304 bar;TRC
Methylcyclohexane,108-87-2,Pc,34.7768,bar,N/A,"Kay, 1947",Uncertainty assigned by TRC =  0.0506 bar;TRC
Methylcyclohexane,108-87-2,Quantity,Value,Units,Method,Reference,Comment
Methylcyclohexane,108-87-2,Vc,0.369,l/mol,N/A,"Daubert, 1996",
Methylcyclohexane,108-87-2,Quantity,Value,Units,Method,Reference,Comment
Methylcyclohexane,108-87-2,ρc,2.71 ± 0.02,mol/l,N/A,"Daubert, 1996",
Methylcyclohexane,108-87-2,ρc,2.719,mol/l,N/A,"Kudchadker, Alani, et al., 1968",Uncertainty assigned by TRC =  0.03 mol/l;TRC
Methylcyclohexane,108-87-2,ρc,2.715,mol/l,N/A,"Simon, 1957",Uncertainty assigned by TRC =  0.03 mol/l;TRC
Methylcyclohexane,108-87-2,ρc,2.71,mol/l,N/A,"Kay, 1947",Uncertainty assigned by TRC =  0.02 mol/l;TRC
Methylcyclohexane,108-87-2,Quantity,Value,Units,Method,Reference,Comment
Methylcyclohexane,108-87-2,ΔvapH°,35.3 ± 0.2,kJ/mol,AVG,N/A,Average of 10 out of 11 values;Individual data points
Ethylcyclopentane,1640-89-7,Tboil,376.6 ± 0.2,K,AVG,N/A,Average of 26 out of 28 values;Individual data points
Ethylcyclopentane,1640-89-7,Quantity,Value,Units,Method,Reference,Comment
Ethylcyclopentane,1640-89-7,Tfus,134.5 ± 0.9,K,AVG,N/A,Average of 19 values;Individual data points
Ethylcyclopentane,1640-89-7,Quantity,Value,Units,Method,Reference,Comment
Ethylcyclopentane,1640-89-7,Ttriple,134.4 ± 0.7,K,AVG,N/A,Average of 7 values;Individual data points
Ethylcyclopentane,1640-89-7,Quantity,Value,Units,Method,Reference,Comment
Ethylcyclopentane,1640-89-7,Tc,569.5 ± 0.5,K,N/A,"Daubert, 1996",
Ethylcyclopentane,1640-89-7,Tc,569.5,K,N/A,"Majer and Svoboda, 1985",
Ethylcyclopentane,1640-89-7,Tc,569.45,K,N/A,"Kay, 1947",Uncertainty assigned by TRC =  0.05 K;TRC
Ethylcyclopentane,1640-89-7,Quantity,Value,Units,Method,Reference,Comment
Ethylcyclopentane,1640-89-7,Pc,34.0 ± 0.4,bar,N/A,"Daubert, 1996",
Ethylcyclopentane,1640-89-7,Pc,33.9702,bar,N/A,"Kay, 1947",Uncertainty assigned by TRC =  0.0506 bar;TRC
Ethylcyclopentane,1640-89-7,Quantity,Value,Units,Method,Reference,Comment
Ethylcyclopentane,1640-89-7,Vc,0.375,l/mol,N/A,"Daubert, 1996",
Ethylcyclopentane,1640-89-7,Quantity,Value,Units,Method,Reference,Comment
Ethylcyclopentane,1640-89-7,ρc,2.67 ± 0.04,mol/l,N/A,"Daubert, 1996",
Ethylcyclopentane,1640-89-7,ρc,2.67,mol/l,N/A,"Kay, 1947",Uncertainty assigned by TRC =  0.02 mol/l;TRC
Ethylcyclopentane,1640-89-7,Quantity,Value,Units,Method,Reference,Comment
Ethylcyclopentane,1640-89-7,ΔvapH°,36.47,kJ/mol,N/A,"Majer and Svoboda, 1985",
Ethylcyclopentane,1640-89-7,ΔvapH°,36.5,kJ/mol,N/A,"Reid, 1972",AC
Ethylcyclopentane,1640-89-7,ΔvapH°,36.4,kJ/mol,N/A,"Prosen, Johnson, et al., 1946",DRB
Ethylcyclohexane,1678-91-7,Tboil,405. ± 2.,K,AVG,N/A,Average of 37 out of 39 values;Individual data points
Ethylcyclohexane,1678-91-7,Quantity,Value,Units,Method,Reference,Comment
Ethylcyclohexane,1678-91-7,Tfus,161. ± 3.,K,AVG,N/A,Average of 6 values;Individual data points
Ethylcyclohexane,1678-91-7,Quantity,Value,Units,Method,Reference,Comment
Ethylcyclohexane,1678-91-7,Ttriple,161.84,K,N/A,"Huffman, Todd, et al., 1949",Uncertainty assigned by TRC =  0.05 K;TRC
Ethylcyclohexane,1678-91-7,Ttriple,161.4,K,N/A,"Parks, Moore, et al., 1949",Uncertainty assigned by TRC =  0.2 K;TRC
Ethylcyclohexane,1678-91-7,Quantity,Value,Units,Method,Reference,Comment
Ethylcyclohexane,1678-91-7,Tc,609.,K,N/A,"Majer and Svoboda, 1985",
Ethylcyclohexane,1678-91-7,Quantity,Value,Units,Method,Reference,Comment
Ethylcyclohexane,1678-91-7,ΔvapH°,40.2 ± 0.8,kJ/mol,AVG,N/A,Average of 9 values;Individual data points
"1,2-Dimethylcyclohexane",583-57-3,Tboil,399. ± 4.,K,AVG,N/A,Average of 14 values;Individual data points
"1,3-Dimethylcyclohexane",591-21-9,Tboil,393. ± 4.,K,AVG,N/A,Average of 25 out of 27 values;Individual data points
"1,4-Dimethylcyclohexane",589-90-2,Tboil,394. ± 3.,K,AVG,N/A,Average of 11 out of 12 values;Individual data points
Propylcyclohexane,1678-92-8,Tboil,429. ± 3.,K,AVG,N/A,Average of 24 values;Individual data points
Propylcyclohexane,1678-92-8,Quantity,Value,Units,Method,Reference,Comment
Propylcyclohexane,1678-92-8,Tfus,178.09,K,N/A,"Boord, Greenlee, et al., 1946",Uncertainty assigned by TRC =  0.2 K;TRC
Propylcyclohexane,1678-92-8,Tfus,178.19,K,N/A,"Forziati, Glasgow, et al., 1946",Uncertainty assigned by TRC =  0.02 K;TRC
Propylcyclohexane,1678-92-8,Tfus,178.06,K,N/A,"Anonymous, 1941",Uncertainty assigned by TRC =  0.1 K;TRC
Propylcyclohexane,1678-92-8,Quantity,Value,Units,Method,Reference,Comment
Propylcyclohexane,1678-92-8,Ttriple,178.25,K,N/A,"Finke, Messerly, et al., 1965",Uncertainty assigned by TRC =  0.02 K;TRC
Propylcyclohexane,1678-92-8,Quantity,Value,Units,Method,Reference,Comment
Propylcyclohexane,1678-92-8,ΔvapH°,45. ± 1.,kJ/mol,AVG,N/A,Average of 10 values;Individual data points
Butylcyclohexane,1678-93-9,Tboil,453. ± 2.,K,AVG,N/A,Average of 16 out of 17 values;Individual data points
Butylcyclohexane,1678-93-9,Quantity,Value,Units,Method,Reference,Comment
Butylcyclohexane,1678-93-9,Tfus,198.30,K,N/A,"Boord, Henne, et al., 1949",Uncertainty assigned by TRC =  0.5 K;TRC
Butylcyclohexane,1678-93-9,Tfus,198.3,K,N/A,"Boord, Greenlee, et al., 1946",Uncertainty assigned by TRC =  0.2 K;TRC
Butylcyclohexane,1678-93-9,Tfus,198.3,K,N/A,"Boord, Greenlee, et al., 1945",Uncertainty assigned by TRC =  0.2 K;TRC
Butylcyclohexane,1678-93-9,Tfus,196.85,K,N/A,"Anonymous, 1943",Uncertainty assigned by TRC =  0.5 K;TRC
Butylcyclohexane,1678-93-9,Quantity,Value,Units,Method,Reference,Comment
Butylcyclohexane,1678-93-9,Ttriple,198.42,K,N/A,"Finke, Messerly, et al., 1965",Uncertainty assigned by TRC =  0.02 K;TRC
Butylcyclohexane,1678-93-9,Quantity,Value,Units,Method,Reference,Comment
Butylcyclohexane,1678-93-9,ΔvapH°,49. ± 2.,kJ/mol,AVG,N/A,Average of 10 values;Individual data points
Pentylcyclohexane,4292-92-6,Tboil,477.0,K,N/A,"Smith and Pennekamp, 1945",Uncertainty assigned by TRC =  0.6 K;TRC
Pentylcyclohexane,4292-92-6,Tboil,474.8,K,N/A,"Signaigo and Cramer, 1933",Uncertainty assigned by TRC =  1.5 K;TRC
Pentylcyclohexane,4292-92-6,Tboil,469.4,K,N/A,"Stratford, 1929",Uncertainty assigned by TRC =  4. K;TRC
Pentylcyclohexane,4292-92-6,Tboil,472.15,K,N/A,"Bourguel, 1927",Uncertainty assigned by TRC =  2. K;TRC
Pentylcyclohexane,4292-92-6,Quantity,Value,Units,Method,Reference,Comment
Pentylcyclohexane,4292-92-6,ΔvapH°,54. ± 1.,kJ/mol,AVG,N/A,Average of 6 values;Individual data points
Hexylcyclohexane,4292-75-5,Tboil,497.93,K,N/A,"Mears, Stanley, et al., 1963",Uncertainty assigned by TRC =  0.2 K;TRC
Hexylcyclohexane,4292-75-5,Tboil,497.93,K,N/A,"Jessup and Stanley, 1961",Uncertainty assigned by TRC =  0.5 K;TRC
Hexylcyclohexane,4292-75-5,Tboil,497.8,K,N/A,"Smith and Pennekamp, 1945",Uncertainty assigned by TRC =  0.6 K;TRC
Hexylcyclohexane,4292-75-5,Tboil,493.15,K,N/A,"Nenitzescu and Cioranescu, 1936",Uncertainty assigned by TRC =  2. K;TRC
Hexylcyclohexane,4292-75-5,Tboil,494.15,K,N/A,"Bourguel, 1927",Uncertainty assigned by TRC =  2. K;TRC
Hexylcyclohexane,4292-75-5,Quantity,Value,Units,Method,Reference,Comment
Hexylcyclohexane,4292-75-5,Tfus,225.64,K,N/A,"Mears, Stanley, et al., 1963",Uncertainty assigned by TRC =  0.2 K;TRC
Hexylcyclohexane,4292-75-5,Tfus,225.64,K,N/A,"Jessup and Stanley, 1961",Uncertainty assigned by TRC =  0.5 K;TRC
Hexylcyclohexane,4292-75-5,Quantity,Value,Units,Method,Reference,Comment
Hexylcyclohexane,4292-75-5,ΔvapH°,55.9 ± 0.5,kJ/mol,GC,"Azandegbe, 1987",AC
Hexylcyclohexane,4292-75-5,ΔvapH°,58.95 ± 0.50,kJ/mol,C,"Fuchs and Peacock, 1978",ALS
Hexylcyclohexane,4292-75-5,ΔvapH°,59.0 ± 0.5,kJ/mol,GCC,"Fuchs and Peacock, 1978, 2",AC
Hexylcyclohexane,4292-75-5,ΔvapH°,59.9,kJ/mol,N/A,"Reid, 1972",AC
Decalin,91-17-8,Tboil,463.2,K,N/A,"Aldrich Chemical Company Inc., 1990",BS
Decalin,91-17-8,Tboil,465.,K,N/A,"Greensfelder and Voge, 1945",Uncertainty assigned by TRC =  5. K;TRC
Decalin,91-17-8,Tboil,465.,K,N/A,"Larsen, Thorpe, et al., 1942",Uncertainty assigned by TRC =  2. K;TRC
Decalin,91-17-8,Tboil,445.,K,N/A,"Ross and Leather, 1906",Uncertainty assigned by TRC =  10. K;TRC
Decalin,91-17-8,Tboil,461.,K,N/A,"Leroux, 1904",Uncertainty assigned by TRC =  6. K;TRC
Decalin,91-17-8,Quantity,Value,Units,Method,Reference,Comment
Decalin,91-17-8,Tfus,149.,K,N/A,"Herz and Schuftan, 1922",Uncertainty assigned by TRC =  2.5 K;TRC
Decalin,91-17-8,Quantity,Value,Units,Method,Reference,Comment
Decalin,91-17-8,Tc,645.,K,N/A,"Glaser and Ruland, 1957",Uncertainty assigned by TRC =  2. K;TRC
Decalin,91-17-8,Quantity,Value,Units,Method,Reference,Comment
Decalin,91-17-8,Pc,20.80,bar,N/A,"Glaser and Ruland, 1957",Uncertainty assigned by TRC =  1.5199 bar;TRC
trans-Decalin,493-02-7,Tboil,460. ± 3.,K,AVG,N/A,Average of 17 values;Individual data points
trans-Decalin,493-02-7,Quantity,Value,Units,Method,Reference,Comment
trans-Decalin,493-02-7,Tfus,242. ± 2.,K,AVG,N/A,Average of 15 out of 16 values;Individual data points
trans-Decalin,493-02-7,Quantity,Value,Units,Method,Reference,Comment
trans-Decalin,493-02-7,Ttriple,242.7700,K,N/A,"McCullough, Finke, et al., 1957",Uncertainty assigned by TRC =  0.07 K;TRC
