no,blend_name,n_heptane_vol_pct,isooctane_vol_pct,toluene_vol_pct,TMB_vol_pct,cyclopentane_vol_pct,1_hexene_vol_pct,ethanol_vol_pct,RON,MON,ref
90,TPRF 36,20.0,30.0,50.0,,,,,92.1,82.9,72
91,TPRF 37,9.9,40.0,50.0,,,,,99.8,90.9,72
92,TPRF 38,30.0,10.0,60.0,,,,,85.3,75.2,72
93,TPRF 39,20.0,20.0,60.0,,,,,95,83.7,72
94,TPRF 40,33.0,52.0,15.0,,,,,71.2,69,72
95,TPRF 41,40.0,30.0,30.0,,,,,68.4,63.7,72
96,TPRF 42,12.5,72.5,15.0,,,,,90.5,88,72
97,TPRF 43,17.5,52.5,30.0,,,,,89.5,84.7,72
98,MC 1,23.0,57.0,,,,,20.0,74.6,72,72
99,MC 2,31.0,44.0,15.0,,,,10.0,72,68,72
100,MC 3,29.0,36.0,15.0,,,,20.0,72,67.2,72
101,MC 4,5.1,84.7,,,,,10.2,92.9,90.2,72
102,MC 5,3.0,77.0,,,,,20.0,93,88.5,72
103,MC 6,10.0,65.0,15.0,,,,10.0,91.2,86.8,72
104,MC 7,28.0,57.0,,,,,15.0,77.8,74.6,72
105,MC 8,7.0,58.0,15.0,,,,20.0,91.7,85.2,72
106,MC 9,29.0,41.0,,,,,30.0,83,77.7,72
107,MC 10,14,46.5,32,,,,7.5,91.4,84.9,72
108,MC 11,31.0,54.0,8.0,,,,7.0,73.5,71.8,72
109,MC 12,11.0,39.0,30.0,,,,20.0,90.9,82.7,72
110,MC 13,34.0,36.0,17.6,,,,12.3,76.7,72,72
111,MC 14,9.0,76.0,,,,,15.0,94.2,90.5,72
112,MC 15,34.0,36.0,15.0,,,,15.0,82.6,76.2,72
113,MC 16,9.0,61.0,,,,,30.0,96.8,90,72
114,MC 17,10.0,75.0,8.0,,,,7.0,93.3,90.1,72
115,MC 18,12.5,57.5,15.0,,,,15.0,94.4,88.4,72
116,MC 19,25.0,65.0,,,,,10.0,74.2,72.6,72
117,MC 20,9.0,81.0,,,,,10.0,94.1,91.4,72
118,MC 21,9.0,71.0,,,,,20.0,97.5,90.7,72
119,MC 22,13.0,62.0,15.0,,,,10.0,93,88,72
120,MC 23,17.0,43.0,30.0,,,,10.0,91.7,85.5,72
121,MC 24,14.0,51.0,15.0,,,,20.0,94.5,87.8,72
122,MC 25,18.0,32.0,30.0,,,,20.0,92.9,85.3,72
123,MC 26,43.0,7.0,30.0,,,,20.0,70.9,66,72
